category;statement;op1;op2;op3;op4;answer
2;yU;Ulan Bator;Arbil;Philadelphia;Maracaibo;2
2;bC;Pontianak;Helsinki;Johannesburg;Yaren District;1
2;xj;Longyearbyen;Asmara;Adelaide;Louisville;4
4;zR;Ulan Bator;Ürümqi;Melekeok;Chengdu;3
1;aI;Cleveland;Algiers;Mbabane;Jamestown;1
2;bB;Lucknow;Kolkata;Surat Thani;Bratsk;3
3;dv;Winnipeg;Phnom Penh;San Francisco;Málaga;4
4;zc;Nakhon Ratchasima;Chennai;Conakry;Maseru;4
4;ed;Düsseldorf;Whitehorse;Johannesburg;Kigali;4
2;CM;Espoo;Konya;Bratsk;Makati City;2
2;at;Tallinn;Blantyre;Kinshasa;Iqaluit;3
3;vM;Wollongong;Horta (Azores);La Serena;Dededo;3
1;kf;Cincinnati;London;N'Djamena;Lilongwe;2
1;Td;Handan;Tskhinvali;Birkirkara;Nagoya;4
1;"  ";Taichung;Pelotas;Havana;Palikir;3
2;nQ;São José dos Campos;Milwaukee;Córdoba;Doha;3
1;zR;Santo Domingo;Charlotte;Murmansk;Charlotte Amalie;2
1;et;Tunis;Rotterdam;Nashville;Faisalabad;2
2;rH;Rio de Janeiro;Marrakech;Weno;Manaus;1
2;jQ;Gdańsk;Guatemala City;Perth;Edmonton;4
4;Kx;Kota Kinabalu;Havana;Atlanta;Kuwait City;2
1;xd;Brisbane;Rawalpindi;Bogotá;Phnom Penh;1
4;Jr;Zagreb;Dalian;Cusco;Manila;1
1;uP;Fortaleza;Monrovia;Hong Kong;Porto Alegre;2
4;eG;Dublin;Iqaluit;Lusaka;Chengdu;3
2;"B ";Accra;Monaco;Kharkiv;Cusco;3
2;iG;Munich;Belgrade;Cologne;Djibouti (city);3
3;xB;Kaohsiung;Novosibirsk;Nukuʻalofa;Monaco;1
1;vK;Lomé;Brasília;Djibouti (city);Dededo;2
3;pX;Quezon City;Valletta;Bogotá;Harare;1
3;kS;Mexico City;Mashhad;Osaka;Kota Kinabalu;2
1;cR;Stockholm;Cuiabá;Ahmedabad;Zagreb;4
4;CI;Basse-Terre;Brazzaville;Malé;Yamoussoukro;1
2;yN;Edinburgh;N'Djamena;İzmir;Saskatoon;2
2;QV;Shanghai;Enugu;Yaoundé;Tiraspol;4
4;KI;Darwin;Dushanbe;Sri Jayawardenapura-Kotte;Mersin;2
2;gz;Cork (city);Mecca;Konya;Asunción;2
4;CR;Graz;Manzini;Forked River;Nizhny Novgorod;3
3;pZ;Buffalo;Vaduz;Willemstad;Mersin;4
4;gX;Islamabad;Wollongong;Kunming;Novosibirsk;2
